gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arl2	12.176160944615622	6.749204218876963	5.2958024944549775	5.262998226307712	6.296652206565698	1.4747410591343335	11.198011070324725	4.084915323857319	4.177866085754549	2.4264486252373874	8.351907843246986	8.09842508673264
Arl2bp	138.51747433552327	173.7986838330787	104.75296430161661	173.38598922246803	188.89579818789832	223.49616726582212	116.08544630898587	236.24801677497874	315.4028568426031	480.2408171639897	190.7515735793609	347.5241847954859
Arl3	0.5192589231300506	1.2410600993187726	1.3912006187975294	1.4269522320882981	1.9272942184461999	0.12453101258383288	0.5870577182931439	1.5368372645852215	2.0497879006145943	1.8776545787898744	0.831588425061704	0.524156413403964
Arl4a	75.46002607597359	66.98323988585713	48.26665354668	54.99881946073803	62.769348131012954	12.399898639151141	60.37708303341405	21.12565016864818	20.1226291891011	12.562841434359507	40.47905681721201	63.21260966872651
Arl4c	1.2465269118997484	0.9671944435500351	0.3036007195868887	1.2854303742391293	0.8108256076658839	0.17850230121804478	1.371777069907731	0.8691025869186827	0	0	0.9994858575301402	1.103045620049431
Arl4d	16.16220871618378	11.880418756352224	19.430578548918128	12.86546330562003	14.336533553643397	1.8667034605739898	24.338977982960483	10.698172049840807	4.5306682957156434	5.176305894716118	10.230888772931952	4.734535060544917
Arl5a	7.1589383784960985	7.883188067610418	3.36833451007998	8.699756916521691	5.606196382501903	3.9989151847870223	6.616390906909397	4.5017471325646445	3.0169991965230256	1.8090287436710004	5.740154982560106	3.6582632892509435
Arl5b	15.084888651981709	11.034183460145437	6.793799319453834	14.733102395865158	12.874053862095511	1.7853200008716803	15.803091567873533	7.6040941188596936	5.729339729329279	3.882599093484013	11.050871313896213	6.731445168789488
Arl5c	14.079101683903609	44.718908655055095	29.10888163548607	14.43275693683384	7.692387737342221	10.982860677723782	10.112641640675214	2.591706483143767	5.160434200178355	5.803761515251818	39.31098070234543	11.280294567329976
Arl6	0.8972821766394475	1.632514900388791	0.6698016864952634	0.30842863027533446	1.5100959410269845	0	1.1330560862890398	0.9221890263676662	0.42571004865847534	0.32214629262362837	1.1990927715554414	0.9751014646504608
